,game_number,victory_rank,survival_rank,tactic_rank,overall_rank,units
179,179,F,S,S,D,Guy-Florina-Lyn
180,180,S,S,S,S,Canas-Raven-Eliwood
181,181,F,S,S,D,Oswin-Florina-Eliwood
182,182,F,A,S,D,Rebecca-Matthew-Lyn
183,183,S,S,S,S,Raven-Guy-Lyn
184,184,F,S,S,D,Heath-Bartre-Lyn
185,185,S,S,S,S,Lucius-Marcus-Lyn
186,186,S,S,S,S,Guy-Dart-Eliwood
187,187,F,S,S,D,Bartre-Sain-Hector
188,188,F,S,S,D,Marcus-Sain-Lyn
189,189,S,S,S,S,Erk-Kent-Hector
190,190,F,A,S,D,Rebecca-Dorcas-Lyn
191,191,S,S,S,S,Sain-Heath-Eliwood
192,192,S,S,S,S,Raven-Heath-Hector
193,193,S,S,S,S,Lucius-Lowen-Hector
194,194,S,S,S,S,Heath-Guy-Hector
195,195,S,S,S,S,Marcus-Heath-Lyn
196,196,F,S,S,D,Rebecca-Rebecca-Lyn
197,197,S,S,S,S,Lowen-Rebecca-Hector
198,198,S,S,S,S,Rebecca-Marcus-Lyn
199,199,S,S,S,S,Guy-Heath-Eliwood
200,200,S,S,S,S,Lowen-Kent-Lyn
201,201,S,S,S,S,Guy-Rebecca-Hector
202,202,F,A,S,D,Guy-Lucius-Lyn
203,203,S,S,S,S,Florina-Bartre-Lyn
204,204,F,S,S,D,Raven-Dart-Eliwood
205,205,S,S,S,S,Florina-Raven-Lyn
206,206,S,S,S,S,Heath-Lucius-Lyn
207,207,S,A,S,S,Lowen-Lucius-Hector
208,208,S,S,S,S,Rebecca-Kent-Lyn
209,209,F,S,S,D,Rebecca-Kent-Lyn
210,210,S,S,S,S,Canas-Bartre-Eliwood
211,211,F,S,S,D,Rebecca-Marcus-Hector
212,212,S,S,S,S,Florina-Dart-Hector
213,213,F,S,S,D,Guy-Dart-Eliwood
214,214,S,S,S,S,Erk-Matthew-Hector
215,215,S,S,B,A,Dart-Sain-Hector
216,216,S,S,S,S,Sain-Kent-Hector
217,217,S,S,S,S,Guy-Oswin-Lyn
218,218,F,S,S,D,Bartre-Florina-Eliwood
219,219,F,S,S,D,Sain-Guy-Eliwood
220,220,F,A,S,D,Heath-Sain-Eliwood
221,221,S,S,S,S,Florina-Oswin-Hector
222,222,S,S,S,S,Oswin-Rebecca-Lyn
223,223,S,S,S,S,Canas-Florina-Eliwood
224,224,S,S,S,S,Marcus-Kent-Lyn
225,225,S,S,S,S,Raven-Erk-Lyn
226,226,F,A,F,F,Erk-Rath-Hector
227,227,S,S,B,A,Rath-Rebecca-Eliwood
228,228,S,S,S,S,Raven-Lucius-Lyn
229,229,F,S,S,D,Marcus-Erk-Lyn
230,230,F,S,S,D,Lucius-Guy-Lyn
231,231,S,S,S,S,Guy-Dart-Eliwood
232,232,F,S,S,D,Erk-Matthew-Lyn
233,233,F,A,S,D,Kent-Dorcas-Eliwood
234,234,F,S,S,D,Lucius-Matthew-Lyn
235,235,S,S,S,S,Dart-Rebecca-Lyn
236,236,S,A,S,S,Rebecca-Canas-Lyn
237,237,S,S,S,S,Lowen-Florina-Lyn
238,238,S,S,S,S,Sain-Oswin-Eliwood
239,239,F,S,S,D,Rath-Kent-Lyn
240,240,S,S,S,S,Lowen-Guy-Eliwood
241,241,F,S,S,D,Bartre-Oswin-Eliwood
242,242,S,S,S,S,Dorcas-Matthew-Lyn
243,243,F,S,S,D,Dorcas-Rebecca-Hector
244,244,S,S,S,S,Heath-Rath-Lyn
245,245,S,S,S,S,Canas-Oswin-Lyn
246,246,S,S,S,S,Oswin-Dart-Hector
247,247,S,S,S,S,Marcus-Dorcas-Hector
248,248,S,A,S,S,Lucius-Rebecca-Eliwood
249,249,S,S,S,S,Heath-Oswin-Lyn
250,250,S,A,S,S,Bartre-Lucius-Lyn
251,251,S,S,S,S,Dorcas-Marcus-Lyn
252,252,S,A,S,S,Sain-Dart-Eliwood
253,253,F,S,S,D,Oswin-Canas-Lyn
254,254,S,A,S,S,Dorcas-Erk-Hector
255,255,S,S,S,S,Bartre-Lowen-Hector
256,256,S,S,S,S,Dorcas-Rath-Hector
257,257,F,S,S,D,Guy-Heath-Eliwood
258,258,F,S,S,D,Oswin-Heath-Lyn
259,259,S,S,S,S,Canas-Guy-Lyn
260,260,S,S,S,S,Sain-Dorcas-Hector
261,261,F,S,S,D,Rebecca-Lucius-Hector
262,262,S,S,S,S,Matthew-Guy-Lyn
263,263,F,A,S,D,Florina-Dart-Lyn
264,264,S,A,S,S,Matthew-Rebecca-Hector
265,265,S,S,S,S,Rath-Canas-Hector
266,266,S,S,S,S,Marcus-Rath-Lyn
267,267,S,A,S,S,Heath-Lucius-Lyn
268,268,F,S,S,D,Sain-Oswin-Lyn
269,269,S,A,S,S,Erk-Lucius-Eliwood
270,270,F,S,S,D,Heath-Florina-Eliwood
271,271,S,S,S,S,Guy-Dorcas-Eliwood
272,272,F,S,S,D,Lucius-Rebecca-Lyn
273,273,S,S,S,S,Florina-Marcus-Eliwood
274,274,F,S,S,D,Lucius-Rath-Eliwood
275,275,F,S,S,D,Bartre-Lowen-Hector
276,276,S,B,S,A,Florina-Sain-Eliwood
277,277,F,S,S,D,Rebecca-Bartre-Lyn
278,278,S,S,S,S,Rath-Lucius-Lyn
279,279,F,S,S,D,Rebecca-Marcus-Hector
280,280,S,S,S,S,Oswin-Bartre-Lyn
281,281,S,S,S,S,Marcus-Dart-Lyn
282,282,S,S,S,S,Rath-Marcus-Lyn
283,283,S,S,S,S,Oswin-Guy-Hector
284,284,F,S,S,D,Guy-Dorcas-Lyn
285,285,S,S,S,S,Florina-Canas-Eliwood
286,286,S,S,S,S,Canas-Dart-Lyn
287,287,F,A,F,F,Florina-Rath-Hector
288,288,S,S,S,S,Heath-Oswin-Eliwood
289,289,S,S,S,S,Rebecca-Raven-Eliwood
290,290,F,S,S,D,Lucius-Raven-Hector
291,291,S,A,S,S,Sain-Rath-Eliwood
292,292,S,S,S,S,Erk-Rath-Hector
293,293,F,S,S,D,Dorcas-Florina-Lyn
294,294,S,A,S,S,Rebecca-Rebecca-Lyn
295,295,S,S,S,S,Rebecca-Guy-Hector
296,296,F,S,S,D,Guy-Dorcas-Eliwood
297,297,F,B,S,D,Kent-Erk-Eliwood
298,298,S,A,S,S,Lucius-Erk-Hector
299,299,S,S,S,S,Erk-Guy-Hector
300,300,S,A,B,A,Heath-Rebecca-Eliwood
301,301,S,S,S,S,Dart-Marcus-Lyn
302,302,F,S,S,D,Matthew-Canas-Lyn
303,303,F,A,S,D,Dart-Sain-Lyn
304,304,F,S,S,D,Kent-Oswin-Lyn
305,305,S,S,S,S,Sain-Canas-Hector
306,306,F,A,S,D,Rebecca-Sain-Hector
307,307,S,S,S,S,Bartre-Rath-Lyn
308,308,F,S,S,D,Florina-Kent-Eliwood
309,309,S,S,S,S,Rath-Canas-Eliwood
310,310,F,S,S,D,Heath-Rath-Lyn
311,311,F,S,S,D,Bartre-Heath-Lyn
312,312,F,B,S,D,Kent-Sain-Lyn
313,313,F,S,S,D,Raven-Bartre-Eliwood
314,314,F,S,S,D,Guy-Sain-Lyn
315,315,F,S,S,D,Oswin-Raven-Eliwood
316,316,F,S,S,D,Marcus-Oswin-Lyn
317,317,S,A,S,S,Dorcas-Sain-Hector
318,318,S,A,S,S,Rebecca-Florina-Hector
319,319,S,S,S,S,Guy-Oswin-Lyn
320,320,F,A,S,D,Rebecca-Lucius-Hector
321,321,S,A,S,S,Kent-Rebecca-Eliwood
322,322,S,A,S,S,Canas-Matthew-Hector
323,323,F,A,S,D,Rebecca-Rebecca-Lyn
324,324,F,S,S,D,Canas-Guy-Lyn
325,325,F,S,S,D,Dart-Guy-Lyn
326,326,S,A,S,S,Sain-Lucius-Eliwood
327,327,F,A,S,D,Dart-Florina-Eliwood
328,328,S,S,S,S,Rebecca-Sain-Eliwood
329,329,S,S,B,A,Kent-Dart-Hector
330,330,F,B,S,D,Bartre-Lucius-Lyn
331,331,F,S,S,D,Canas-Erk-Lyn
332,332,S,S,S,S,Dart-Heath-Eliwood
333,333,S,A,S,S,Lucius-Rath-Hector
334,334,S,S,S,S,Erk-Heath-Eliwood
335,335,S,S,S,S,Matthew-Rath-Lyn
336,336,S,S,S,S,Lowen-Lucius-Hector
337,337,F,S,S,D,Rath-Dart-Lyn
338,338,S,S,S,S,Heath-Raven-Lyn
339,339,S,S,S,S,Sain-Marcus-Lyn
340,340,F,S,S,D,Dart-Florina-Lyn
341,341,S,S,S,S,Canas-Sain-Lyn
342,342,F,S,S,D,Rebecca-Kent-Lyn
343,343,F,S,S,D,Oswin-Matthew-Hector
344,344,S,S,S,S,Rebecca-Bartre-Lyn
345,345,S,S,S,S,Raven-Lucius-Lyn
346,346,S,S,S,S,Dorcas-Heath-Hector
347,347,S,S,S,S,Kent-Rath-Eliwood
348,348,S,A,S,S,Lowen-Matthew-Eliwood
349,349,F,S,S,D,Dart-Florina-Lyn
350,350,S,A,S,S,Raven-Canas-Lyn
351,351,S,S,S,S,Canas-Bartre-Eliwood
352,352,S,B,A,A,Rebecca-Lowen-Eliwood
353,353,S,S,A,S,Heath-Guy-Hector
354,354,S,A,S,S,Dorcas-Guy-Eliwood
355,355,F,S,S,D,Rebecca-Florina-Lyn
356,356,S,S,S,S,Florina-Guy-Lyn
357,357,S,S,S,S,Matthew-Bartre-Hector
358,358,S,A,S,S,Kent-Lowen-Hector
359,359,S,S,S,S,Matthew-Kent-Lyn
360,360,S,S,S,S,Rebecca-Lucius-Eliwood
361,361,S,B,S,A,Rebecca-Guy-Eliwood
362,362,F,A,S,D,Rebecca-Florina-Hector
363,363,S,S,S,S,Sain-Kent-Hector
364,364,F,B,S,D,Guy-Rebecca-Eliwood
365,365,F,A,S,D,Matthew-Sain-Lyn
366,366,S,S,C,A,Dart-Heath-Hector
367,367,S,S,S,S,Oswin-Dorcas-Hector
368,368,F,S,S,D,Erk-Guy-Lyn
369,369,S,S,S,S,Dart-Canas-Hector
370,370,S,S,S,S,Dorcas-Marcus-Hector
371,371,S,A,S,S,Dart-Rebecca-Eliwood
372,372,F,A,S,D,Canas-Rebecca-Hector
373,373,F,A,S,D,Dorcas-Florina-Eliwood
374,374,S,S,S,S,Rath-Heath-Eliwood
375,375,F,S,S,D,Bartre-Raven-Eliwood
376,376,F,S,S,D,Rebecca-Canas-Lyn
377,377,S,S,S,S,Raven-Marcus-Eliwood
378,378,S,S,S,S,Raven-Rebecca-Hector
379,379,F,S,S,D,Marcus-Erk-Eliwood
380,380,S,S,S,S,Canas-Rath-Eliwood
381,381,S,S,S,S,Lowen-Heath-Lyn
382,382,S,S,S,S,Heath-Erk-Hector
383,383,S,S,S,S,Lucius-Bartre-Hector
384,384,S,S,S,S,Rebecca-Marcus-Lyn
385,385,S,S,S,S,Dart-Rebecca-Hector
386,386,F,S,S,D,Dorcas-Dart-Hector
387,387,S,S,S,S,Lucius-Rath-Lyn
388,388,S,A,S,S,Marcus-Guy-Eliwood
389,389,S,S,S,S,Oswin-Sain-Hector
390,390,F,S,S,D,Lowen-Matthew-Hector
391,391,S,A,S,S,Lucius-Rebecca-Hector
392,392,S,S,S,S,Guy-Lucius-Lyn
393,393,F,S,S,D,Heath-Dart-Hector
394,394,S,S,S,S,Kent-Lucius-Hector
395,395,S,S,S,S,Matthew-Dart-Eliwood
396,396,S,S,S,S,Sain-Raven-Hector
397,397,S,S,S,S,Florina-Erk-Hector
398,398,S,S,S,S,Rath-Rebecca-Eliwood
399,399,S,S,S,S,Canas-Raven-Hector
400,400,F,S,S,D,Heath-Rebecca-Lyn
401,401,F,S,S,D,Lucius-Oswin-Hector
402,402,S,A,S,S,Florina-Oswin-Lyn
403,403,S,S,S,S,Marcus-Raven-Hector
404,404,F,A,S,D,Kent-Rath-Eliwood
405,405,S,S,S,S,Matthew-Rebecca-Hector
406,406,S,S,S,S,Lowen-Florina-Eliwood
407,407,F,A,S,D,Rebecca-Guy-Hector
408,408,F,B,S,D,Raven-Lucius-Lyn
409,409,S,S,S,S,Marcus-Florina-Eliwood
410,410,S,S,S,S,Lowen-Lucius-Lyn
411,411,F,B,S,D,Rebecca-Sain-Eliwood
412,412,S,A,S,S,Lucius-Oswin-Lyn
413,413,F,S,S,D,Rebecca-Canas-Lyn
414,414,F,A,S,D,Guy-Kent-Lyn
415,415,F,A,S,D,Erk-Lowen-Lyn
416,416,F,S,S,D,Oswin-Lucius-Eliwood
417,417,F,A,S,D,Rebecca-Raven-Hector
418,418,S,S,S,S,Matthew-Erk-Hector
419,419,S,A,S,S,Kent-Rebecca-Hector
420,420,S,S,S,S,Lucius-Heath-Eliwood
421,421,S,A,S,S,Rebecca-Erk-Hector
422,422,S,A,S,S,Raven-Lucius-Hector
423,423,F,S,S,D,Sain-Marcus-Lyn
424,424,F,A,S,D,Raven-Oswin-Eliwood
425,425,S,S,S,S,Kent-Lowen-Lyn
426,426,S,S,S,S,Dart-Marcus-Lyn
427,427,S,S,S,S,Dorcas-Oswin-Lyn
428,428,S,S,A,S,Guy-Florina-Eliwood
429,429,S,S,A,S,Kent-Lowen-Hector
430,430,S,S,S,S,Marcus-Rebecca-Hector
431,431,F,B,S,D,Dorcas-Lucius-Hector
432,432,S,S,S,S,Sain-Canas-Lyn
433,433,S,S,S,S,Canas-Rebecca-Hector
434,434,F,S,S,D,Bartre-Matthew-Hector
435,435,F,A,S,D,Florina-Rebecca-Lyn
436,436,S,A,S,S,Bartre-Lucius-Eliwood
437,437,S,A,S,S,Kent-Lucius-Lyn
438,438,F,B,S,D,Dorcas-Rebecca-Hector
439,439,F,S,S,D,Marcus-Rebecca-Eliwood
440,440,F,A,S,D,Rebecca-Sain-Lyn
441,441,S,S,S,S,Guy-Lowen-Eliwood
442,442,S,S,S,S,Rath-Oswin-Lyn
443,443,S,S,S,S,Dorcas-Rebecca-Lyn
444,444,S,S,S,S,Lucius-Sain-Lyn
445,445,S,S,S,S,Heath-Rebecca-Hector
446,446,F,S,S,D,Raven-Dart-Eliwood
447,447,F,S,S,D,Matthew-Dart-Eliwood
448,448,F,A,S,D,Matthew-Rebecca-Hector
449,449,S,S,S,S,Bartre-Lucius-Eliwood
450,450,F,B,B,F,Florina-Sain-Eliwood
451,451,F,S,S,D,Dart-Kent-Lyn
452,452,S,S,S,S,Kent-Canas-Hector
453,453,S,S,S,S,Lucius-Florina-Eliwood
454,454,S,S,S,S,Heath-Rath-Eliwood
455,455,F,A,S,D,Raven-Kent-Eliwood
456,456,S,A,S,S,Sain-Guy-Hector
457,457,S,S,A,S,Rebecca-Dorcas-Hector
458,458,F,A,S,D,Rebecca-Rebecca-Lyn
459,459,S,A,S,S,Rebecca-Lowen-Hector
460,460,S,A,A,A,Raven-Rebecca-Eliwood
461,461,S,S,S,S,Dart-Marcus-Eliwood
462,462,S,S,S,S,Sain-Florina-Hector
463,463,S,S,S,S,Heath-Kent-Lyn
464,464,F,S,S,D,Lowen-Lucius-Eliwood
465,465,S,S,S,S,Oswin-Canas-Eliwood
466,466,S,S,S,S,Florina-Bartre-Hector
467,467,S,A,S,S,Kent-Erk-Lyn
468,468,F,S,S,D,Florina-Kent-Eliwood
469,469,F,S,S,D,Rebecca-Guy-Lyn
470,470,S,S,S,S,Canas-Florina-Eliwood
471,471,S,B,S,A,Bartre-Rebecca-Lyn
472,472,F,S,S,D,Bartre-Dart-Eliwood
473,473,S,S,S,S,Rath-Canas-Eliwood
474,474,S,S,S,S,Florina-Rath-Hector
475,475,F,S,S,D,Heath-Sain-Lyn
476,476,S,S,S,S,Dorcas-Raven-Lyn
477,477,F,A,S,D,Bartre-Rebecca-Lyn
478,478,F,S,S,D,Dorcas-Rebecca-Lyn
479,479,S,S,S,S,Dorcas-Sain-Lyn
480,480,S,S,S,S,Raven-Dorcas-Eliwood
481,481,F,S,S,D,Raven-Florina-Hector
482,482,F,S,S,D,Erk-Florina-Lyn
483,483,S,S,S,S,Sain-Matthew-Eliwood
484,484,S,A,S,S,Lucius-Heath-Eliwood
485,485,F,S,S,D,Oswin-Canas-Eliwood
486,486,S,S,S,S,Raven-Bartre-Hector
487,487,S,B,A,A,Bartre-Rebecca-Lyn
488,488,F,A,S,D,Matthew-Florina-Eliwood
489,489,S,S,A,S,Rebecca-Bartre-Lyn
490,490,S,S,S,S,Rebecca-Dart-Hector
491,491,S,S,S,S,Florina-Bartre-Lyn
492,492,F,S,S,D,Marcus-Rebecca-Lyn
493,493,S,S,S,S,Dart-Heath-Hector
494,494,S,S,S,S,Oswin-Lucius-Hector
495,495,S,S,S,S,Kent-Canas-Lyn
496,496,S,S,S,S,Canas-Kent-Hector
497,497,F,A,S,D,Florina-Matthew-Lyn
498,498,S,S,S,S,Rath-Dorcas-Lyn
499,499,S,S,S,S,Raven-Kent-Lyn
500,500,S,S,B,A,Heath-Florina-Eliwood
501,501,F,S,S,D,Erk-Dart-Hector
502,502,S,S,S,S,Guy-Marcus-Hector
503,503,S,A,S,S,Erk-Rebecca-Lyn
504,504,F,S,S,D,Rath-Dorcas-Hector
505,505,S,S,S,S,Rath-Heath-Hector
506,506,F,A,S,D,Heath-Erk-Lyn
507,507,F,S,S,D,Rebecca-Dorcas-Eliwood
508,508,S,S,S,S,Rath-Erk-Lyn
509,509,S,S,S,S,Raven-Marcus-Hector
510,510,S,S,S,S,Oswin-Marcus-Eliwood
511,511,S,A,S,S,Sain-Matthew-Eliwood
512,512,F,S,S,D,Kent-Dorcas-Lyn
513,513,S,S,S,S,Matthew-Rebecca-Eliwood
514,514,S,A,S,S,Rath-Bartre-Eliwood
515,515,S,S,S,S,Florina-Marcus-Hector
516,516,S,A,S,S,Lucius-Dorcas-Hector
517,517,F,B,S,D,Matthew-Rebecca-Lyn
518,518,S,S,S,S,Oswin-Florina-Lyn
519,519,S,S,S,S,Florina-Lucius-Eliwood
520,520,S,A,S,S,Lucius-Guy-Eliwood
521,521,S,A,S,S,Lucius-Erk-Hector
522,522,S,S,S,S,Oswin-Rath-Lyn
523,523,S,A,S,S,Oswin-Erk-Eliwood
524,524,F,B,S,D,Rebecca-Rebecca-Eliwood
525,525,F,S,S,D,Lucius-Erk-Eliwood
526,526,S,S,S,S,Lucius-Florina-Lyn
527,527,S,S,S,S,Dorcas-Matthew-Hector
528,528,S,S,S,S,Rebecca-Canas-Hector
529,529,S,S,S,S,Sain-Dorcas-Hector
530,530,S,S,S,S,Lucius-Heath-Eliwood
